DIAGRAMA DE RELACIONES (REL) — Método SLP de Muther — MODO DOS LÍNEAS PARALELAS (vinculado a Guerchet),,,,
,,,,
CÓDIGOS DE CERCANÍA,,,,
S01 Recepción MP,S09M Envasado Mermeladas,Aerosoles de zona sucia contaminan línea de envasado en caliente,,
S01 Recepción MP,S09S Envasado Snacks,Ídem para línea Snacks,,
S04M Limpieza Mermeladas,S09M Envasado Mermeladas,Agua de lavado y aerosoles de su propia línea alcanzan el área de envasado,,
S04S Limpieza Snacks,S09S Envasado Snacks,Ídem para línea Snacks,,
S05M Pelado Mermeladas,S09M Envasado Mermeladas,Residuos orgánicos del pelado (línea propia) contaminan el área de envasado,,
S05S Pelado Snacks,S09S Envasado Snacks,Ídem para línea Snacks,,
,,,,
ZONIFICACIÓN BPM (SENASA),,,,
Zona,Sectores incluidos,Requisito de separación,,
Zona Sucia,"S01, S02, S03, S04M, S04S, S05M, S05S, S06M, S06S, S07M, S07S",Barrera sanitaria obligatoria antes de Zona Limpia (S14),,
Zona Limpia,"S08M, S08S, S09M, S09S, S10, S11, S12","Solo personal con indumentaria limpia, sin retorno a Zona Sucia sin cambio",,
Transición,"S13 (CC/Lab), S14 (Vestuarios/Barrera)",S14 es la barrera física; S13 accede a ambas zonas con protocolo de indumentaria,,
